task_id,vertical,subtype,title_zh,source_id,source_class,risk_level,primary_signal_mode,paper_first,paper_first_rank,primary_deliverable_type,primary_deliverable_zh,task_prompt_zh,environment_binding_status
DA016,data_analysis,experiment_design,教育干预的准实验评估方案,plhkw_authored,newly_authored,high,explicit_constraints,False,,analysis_notebook,一个可从头运行并在内部包含估计对象、设计、功效或敏感性模拟及分析规则的实验设计 notebook。,"学校已经非随机推广一项学习支持计划，需要使用历史成绩、参与和背景数据评估效果，同时明确不可识别部分。

请完成以下长程工作：
1. 画因果图并定义目标效应；
2. 检查选择偏差、缺失和政策时间；
3. 比较匹配、差分和断点等可行设计；
4. 做安慰剂、敏感性和异质效应分析；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个可从头运行并在内部包含估计对象、设计、功效或敏感性模拟及分析规则的实验设计 notebook。",pending
DA017,data_analysis,cleaning_integration,跨 CRM、账单与客服系统的客户实体对齐,datascibench,existing_benchmark_derived,high,goal_tradeoff,False,,data_pipeline_repository,一个在同一版本化仓库提交中内含清洗/整合管线、验证检查和可追溯输出定义的数据管线包。,"给定三个主键不一致、文本脏乱且含历史变更的客户系统，构建可审计实体对齐与下游汇总。

请完成以下长程工作：
1. 画像字段、缺失、时间和冲突；
2. 设计确定性与概率匹配函数；
3. 建立人工复核区和错误分析；
4. 输出统一实体表与可程序验证的汇总；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个在同一版本化仓库提交中内含清洗/整合管线、验证检查和可追溯输出定义的数据管线包。",pending
DA018,data_analysis,cleaning_integration,多源环境监测数据的时空整合,real_workflow_adaptation,adapted_real_world,high,knowledge_and_audience,False,,data_pipeline_repository,一个在同一版本化仓库提交中内含清洗/整合管线、验证检查和可追溯输出定义的数据管线包。,"给定传感器、实验室采样、天气和站点维护记录，建立一致的时空分析数据集并评估污染事件。

请完成以下长程工作：
1. 对齐站点、单位、时区和采样窗口；
2. 识别校准漂移、停机和检测限；
3. 设计插补与不确定性传播；
4. 生成事件分析和可追溯数据产品；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一个在同一版本化仓库提交中内含清洗/整合管线、验证检查和可追溯输出定义的数据管线包。",pending
DR001,deep_research,program_resource_discovery,人工智能博士项目与导师的可核验发现,pdr_bench,existing_benchmark_derived,medium,history_grounded_latent_preference,True,1,evidence_catalog,一份可机读、逐项目带官方来源与缺失标记的博士项目证据目录。,"研究者需要系统发现当前仍招生、具有人工智能相关研究方向的海外博士项目，并核对项目、导师、资助与申请要求；任务只建立证据目录，不替申请者选择学校或制定申请计划。

请完成以下长程工作：
1. 先冻结国家/地区、研究主题、申请周期和纳入排除标准；
2. 跨院系项目页、实验室页、导师主页、资助页和招生页进行多轮发现；
3. 消歧学校—项目—导师实体并核验研究活跃度、截止日期、语言与资助信息；
4. 记录未找到信息、排除原因、页面日期和覆盖率审计；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份可机读、逐项目带官方来源与缺失标记的博士项目证据目录。",pending
DR002,deep_research,entity_exhaustive,大学生 AI 学习产品与实证研究全景,pdr_bench,existing_benchmark_derived,medium,interactive_information_acquisition,False,,evidence_atlas,一份将产品实体与实证研究逐项关联的可核验教育技术证据图谱。,"教育研究团队需要枚举面向大学生的 AI 学习产品、课程平台与公开实证研究，并区分产品宣称、独立评估和同行评审证据；任务不设计创业方案或商业模式。

请完成以下长程工作：
1. 冻结学生群体、学习环节、时间窗和产品/研究纳入标准；
2. 跨产品目录、应用商店、机构页面、论文和试验注册库发现实体；
3. 合并别名并抽取功能、价格、地区、目标课程、研究设计与结果；
4. 核查证据独立性、遗漏类别和搜索饱和度；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份将产品实体与实证研究逐项关联的可核验教育技术证据图谱。",pending
DR003,deep_research,program_resource_discovery,国际 AI 职业与签证要求证据目录,pdr_bench,existing_benchmark_derived,medium,explicit_constraints,False,,evidence_catalog,一份按国家和岗位族组织、逐字段标注来源日期的国际职业与签证证据目录。,"职业研究者需要发现多个国家当前公开的 AI 相关岗位类型、常见技能要求和适用工作签证路径，并把招聘市场证据与政府规则分开核验；任务不为个人选择国家或制定迁移路线。

请完成以下长程工作：
1. 冻结国家、岗位族、资历层级、时间窗与官方规则截止日；
2. 跨官方劳动力统计、招聘页面、职业分类和移民部门材料检索；
3. 规范岗位名称、技能、薪资口径、签证条件与证据日期；
4. 标注规则冲突、信息缺口、样本偏差和覆盖边界；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份按国家和岗位族组织、逐字段标注来源日期的国际职业与签证证据目录。",pending
DR004,deep_research,program_resource_discovery,长篇类型小说出版渠道与投稿要求图谱,pdr_bench,existing_benchmark_derived,low,goal_tradeoff,False,,evidence_catalog,一份逐渠道带官方证据、状态日期和权利条款的出版渠道目录。,"出版研究者需要系统发现长篇类型小说的传统出版社、文学杂志、经纪人、网络平台和竞赛渠道，核验投稿窗口、篇幅、版权、费用与历史变更；任务不制定写作日程或推荐写作工具。

请完成以下长程工作：
1. 冻结语言、体裁、作品长度、地区、出版方式和时间窗；
2. 从官方投稿页、合同说明、平台规则、作者指南和存档页发现渠道；
3. 消歧机构与品牌并抽取开放状态、权利条款、费用、响应周期和资格；
4. 记录关闭渠道、规则变更、缺失字段和覆盖率；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份逐渠道带官方证据、状态日期和权利条款的出版渠道目录。",pending
DR005,deep_research,evidence_landscape,北京住房政策、片区与通勤公开证据图谱,pdr_bench,existing_benchmark_derived,high,knowledge_and_audience,False,,evidence_atlas,一份按片区组织、带时间戳和证据等级的北京住房与公共服务证据图谱。,"城市研究团队需要汇集北京不同片区的住房成交口径、教育政策、交通可达性和公共服务公开资料，并统一时间与地理边界；任务不推荐房源、片区或购买时点。

请完成以下长程工作：
1. 冻结行政/统计边界、时间窗、面积和价格口径；
2. 检索政府政策、统计发布、交通数据、学校公开信息和可核验市场数据；
3. 对齐片区别名、政策适用范围、通勤测量和交易指标；
4. 标注时效差异、不可比字段、缺失区域与证据等级；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份按片区组织、带时间戳和证据等级的北京住房与公共服务证据图谱。",pending
DR006,deep_research,literature_synthesis,家庭教育干预的年龄—结果证据地图,pdr_bench,existing_benchmark_derived,high,history_grounded_latent_preference,False,,evidence_map,一份按年龄、干预和结果组织并带偏倚标记的家庭教育证据地图。,"教育研究团队需要综合家庭学习支持、创造力活动和情绪技能干预的研究，明确不同年龄、实施者、持续时间和结果指标下证据是否可迁移；任务不为某个家庭制定干预组合。

请完成以下长程工作：
1. 预注册年龄、干预类型、结果指标、研究设计和检索时间窗；
2. 跨数据库与指南检索并追踪系统综述到原始研究；
3. 抽取样本、效应、实施强度、随访、偏倚与情境；
4. 综合一致结果、冲突结果、证据缺口和适用边界；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份按年龄、干预和结果组织并带偏倚标记的家庭教育证据地图。",pending
DR007,deep_research,literature_synthesis,2 型糖尿病指南一致性与差异证据图谱,pdr_bench,existing_benchmark_derived,high,interactive_information_acquisition,False,,guideline_concordance_map,一份逐条带版本、适用人群和证据等级的 2 型糖尿病指南对照图谱。,"临床信息研究者需要比较不同辖区最新 2 型糖尿病指南在生活方式、监测、低血糖处置和风险分层上的一致与差异，并追溯推荐等级和依据；任务不提供个体治疗或健康管理方案。

请完成以下长程工作：
1. 冻结辖区、指南版本、主题与更新截止日；
2. 从官方学会和政府来源发现现行与被替代版本；
3. 抽取推荐文本、适用人群、证据等级、阈值和例外；
4. 对齐术语并标注一致、冲突、未覆盖与版本变化；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份逐条带版本、适用人群和证据等级的 2 型糖尿病指南对照图谱。",pending
DR008,deep_research,literature_synthesis,复杂多引文 RAG 训练数据方法证据图谱,researcherbench,existing_benchmark_derived,medium,explicit_constraints,True,2,evidence_map,一份将方法、数据、实现和实证逐项关联的多引文 RAG 证据图谱。,"研究团队需要系统梳理复杂多跳、多引文 RAG 的训练数据构造、归因学习与质量控制方法，并区分方法宣称、公开实现和可复现实证；任务不选择技术路线或设计生产计划。

请完成以下长程工作：
1. 冻结问题复杂度、任务域、年份和研究设计纳入标准；
2. 跨论文、代码仓库、数据卡和引用链进行前向后向检索；
3. 抽取数据来源、教师模型、难度控制、归因目标、人工审计与评测；
4. 核验实现可用性、复现状态、负结果和证据缺口；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份将方法、数据、实现和实证逐项关联的多引文 RAG 证据图谱。",pending
DR009,deep_research,literature_synthesis,材料配比优化机器学习方法与复现证据图谱,deepresearch_bench,existing_benchmark_derived,high,goal_tradeoff,False,,evidence_map,一份按材料体系和方法组织、带复现状态的机器学习研究证据图谱。,"材料研究团队需要梳理机器学习优化元素组合与材料性能的模型、数据库、实验闭环和复现证据，并统一材料体系和评测口径；任务不排序候选路线或制定产业化里程碑。

请完成以下长程工作：
1. 冻结材料体系、目标性能、年份、模型和实验验证纳入标准；
2. 跨论文、数据仓库、代码、实验室页面和引用链检索；
3. 抽取数据规模、分割、指标、外推、实验闭环与独立复现；
4. 对齐不可比结果并标注证据等级、负结果和空白；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份按材料体系和方法组织、带复现状态的机器学习研究证据图谱。",pending
DR010,deep_research,literature_synthesis,单原子催化外加电场模型的假设与验证对照,deepresearch_bench,existing_benchmark_derived,high,knowledge_and_audience,False,,technical_evidence_report,一份逐方法关联物理假设、软件实现和验证证据的技术对照报告。,"计算化学研究者需要比较单原子催化外加电场模拟中的固定方向场、取向平均、反应坐标对齐和显式界面模型，核验物理假设、软件实现与验证边界；任务不推荐具体建模路径。

请完成以下长程工作：
1. 冻结体系类型、场定义、输出量和文献时间窗；
2. 跨论文、补充材料、软件文档和代码实现检索；
3. 抽取边界条件、取向处理、数值设置、验证对象与计算成本；
4. 标注假设冲突、不可比结果、实现缺失和适用范围；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份逐方法关联物理假设、软件实现和验证证据的技术对照报告。",pending
DR011,deep_research,evidence_landscape,气候敏感度估计的跨方法证据与争议审计,deepresearch_bench,existing_benchmark_derived,high,history_grounded_latent_preference,False,,evidence_audit_map,一份按证据家族关联估计区间、关键假设、依赖关系与争议来源的气候敏感度证据审计图谱。,"气候科学研究团队需要系统汇集平衡气候敏感度的观测约束、古气候重建、过程模型和综合评估证据，并解释不同研究给出不同区间的原因。

请完成以下长程工作：
1. 冻结目标量定义、时间窗、研究设计和纳入排除标准；
2. 跨评估报告、论文、数据与补充材料进行前向后向检索；
3. 抽取先验、数据时期、强迫假设、模型结构、区间与不确定性分解；
4. 对齐不可比口径并审计选择效应、依赖证据、争议来源和研究空白；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份按证据家族关联估计区间、关键假设、依赖关系与争议来源的气候敏感度证据审计图谱。",pending
DR012,deep_research,evidence_landscape,中美欧 AI Agent 数据合规义务与生效状态对照,pdr_bench,existing_benchmark_derived,high,interactive_information_acquisition,False,,compliance_matrix,一份逐义务带法源、适用条件和生效状态的跨辖区合规对照矩阵。,"政策研究团队需要核对 AI Agent 产品在中国、欧盟和美国涉及位置、聊天和行为数据时的现行法律义务、适用范围、监管解释和生效状态；任务不设计企业合规架构或应急方案。

请完成以下长程工作：
1. 冻结产品活动、数据类型、主体角色、辖区和法源截止日；
2. 只从官方法律、监管机构、实施规则和权威存档发现材料；
3. 抽取条款、适用条件、例外、生效日、跨境规则和执法状态；
4. 对齐术语并标注冲突、待定规则、辖区差异和版本谱系；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份逐义务带法源、适用条件和生效状态的跨辖区合规对照矩阵。",pending
DR013,deep_research,literature_synthesis,领域微调、检索增强与混合系统的实证证据对照,researcherbench,adapted_real_world,medium,explicit_constraints,False,,evidence_matrix,一份按系统类别和使用条件组织、带可比性审计的实证证据矩阵。,"研究团队需要比较领域微调、检索增强与混合系统在不同数据变化速度、隐私、可验证性和维护条件下的公开实证，并核验评测可比性；任务不替团队选择架构或制定原型计划。

请完成以下长程工作：
1. 冻结领域、任务类型、模型规模、年份和评测纳入标准；
2. 跨论文、代码、技术报告和公开评测检索三类系统；
3. 抽取数据、基线、指标、成本、更新机制、隐私与失败案例；
4. 对齐评测差异并标注可复现性、负结果和证据缺口；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份按系统类别和使用条件组织、带可比性审计的实证证据矩阵。",pending
DR014,deep_research,dataset_resource_discovery,遥感灾害识别数据集的约束式发现与谱系核验,livedrbench,existing_benchmark_derived,medium,goal_tradeoff,True,3,dataset_inventory,一份逐数据集带版本谱系、许可和排除状态的可机读数据集目录。,"研究者需要发现用于跨地区灾害识别的公开遥感数据集，并核验标注对象、空间分辨率、时间覆盖、许可和谱系；任务只形成数据集目录，不推荐数据集组合。

请完成以下长程工作：
1. 冻结灾害类型、地区、传感器、分辨率、时间窗和许可条件；
2. 按属性组合跨数据门户、论文、数据卡和镜像进行宽搜；
3. 消歧数据集版本并核验原始来源、标注、切分、许可证和更新；
4. 记录泄漏风险、地域重叠、排除原因、缺失字段和覆盖率；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份逐数据集带版本谱系、许可和排除状态的可机读数据集目录。",pending
DR015,deep_research,dataset_resource_discovery,电池材料数据集与测量条件对齐,livedrbench,existing_benchmark_derived,high,knowledge_and_audience,False,,dataset_compatibility_ledger,一份逐数据源记录测量条件、字段对应和谱系状态的数据兼容性台账。,"材料研究组需要发现公开电池电极性能数据，并对齐温度、倍率、循环定义、材料命名和许可；任务记录可比性边界，不决定使用哪个数据集。

请完成以下长程工作：
1. 冻结化学体系、性能指标、测量容差、年份和许可条件；
2. 跨论文、数据仓库、补充材料和项目页面发现数据源；
3. 抽取协议、字段语义、样本标识、版本和引用链；
4. 识别重复、条件不可比、缺失协议、许可冲突和谱系断裂；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份逐数据源记录测量条件、字段对应和谱系状态的数据兼容性台账。",pending
DR016,deep_research,dataset_resource_discovery,多语种 AI 监管语料的版本化构建,plhkw_authored,newly_authored,high,history_grounded_latent_preference,False,,corpus_manifest,一份逐文档带版本谱系、条款映射与来源等级的多语种监管语料 manifest。,"政策研究团队需要发现并版本化中国、美国和欧盟的 AI 监管法律、实施规则、官方解释与历史版本，用于后续比较；任务只交付语料 manifest，不设计维护组织或合规行动。

请完成以下长程工作：
1. 冻结辖区、法源类型、语言、时间窗和权威来源层级；
2. 从官方站点和可信存档发现现行与历史材料；
3. 建立文档、条款、版本、术语、辖区和翻译关系；
4. 核验生效日、替代关系、重复项、缺失版本和抓取时间；

交付约束：只提交下面一个主要交付物。步骤中产生的表、图、日志、测试或说明必须嵌入该交付物或作为其内部组成，不得另列第二交付物。
最终交付：一份逐文档带版本谱系、条款映射与来源等级的多语种监管语料 manifest。",pending
