family_id,source_task_id,domain,risk_gate,candidate_user_count,candidate_user_ids,pair_selection_status,decision_divergence_status,contract_status,evidence_freeze_status,expert_review_status,core_release_status,review_notes
PDR_T23,23,Finance,domain_expert_required,5,User8|User9|User11|User14|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T24,24,Finance,domain_expert_required,5,User10|User12|User13|User17|User24,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T25,25,Finance,domain_expert_required,5,User5|User11|User12|User14|User18,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T26,26,Creative,standard_human_review,5,User2|User4|User7|User9|User13,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T27,27,Creative,standard_human_review,5,User2|User7|User13|User14|User15,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T28,28,Creative,standard_human_review,5,User1|User2|User7|User10|User12,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T29,29,Creative,standard_human_review,5,User10|User13|User15|User18|User19,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T30,30,Creative,standard_human_review,5,User7|User9|User12|User14|User15,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T31,31,Shopping,standard_human_review,5,User4|User9|User14|User17|User23,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T32,32,Shopping,standard_human_review,5,User8|User11|User13|User18|User19,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T33,33,Shopping,standard_human_review,5,User4|User7|User12|User13|User21,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T34,34,Shopping,standard_human_review,5,User2|User10|User18|User23|User25,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T35,35,Shopping,standard_human_review,5,User1|User6|User8|User11|User14,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T36,36,Real Estate,standard_human_review,5,User10|User12|User13|User16|User19,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T37,37,Real Estate,standard_human_review,5,User8|User11|User14|User18|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T38,38,Real Estate,standard_human_review,5,User10|User11|User12|User18|User19,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T39,39,Real Estate,standard_human_review,5,User16|User22|User23|User24|User25,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T40,40,Real Estate,standard_human_review,5,User10|User12|User16|User21|User24,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T41,41,Law,domain_expert_required,5,User10|User13|User19|User21|User22,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T42,42,Law,domain_expert_required,5,User1|User11|User12|User18|User21,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T43,43,Law,domain_expert_required,5,User10|User11|User18|User19|User20,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T44,44,Law,domain_expert_required,5,User10|User13|User16|User19|User21,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T45,45,Law,domain_expert_required,5,User4|User6|User13|User22|User24,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,required_pending,candidate_pool_only,
PDR_T46,46,Parenting,standard_human_review,5,User10|User12|User13|User16|User17,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T47,47,Parenting,standard_human_review,5,User10|User12|User13|User16|User17,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T48,48,Parenting,standard_human_review,5,User10|User12|User13|User16|User17,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T49,49,Parenting,standard_human_review,5,User10|User12|User13|User16|User17,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
PDR_T50,50,Parenting,standard_human_review,5,User10|User12|User13|User16|User17,pending_human_counterfactual_audit,unknown,not_authored,not_frozen,not_required_by_domain_default,candidate_pool_only,
