task_id,vertical,subtype,title_zh,source_id,source_class,risk_level,primary_signal_mode,paper_first,paper_first_rank,environment_binding_status
DR012,deep_research,open_consulting,全球 AI Agent 产品合规架构,pdr_bench,existing_benchmark_derived,high,interactive_information_acquisition,False,,pending
DR013,deep_research,open_consulting,垂直领域模型：领域微调还是检索增强,researcherbench,adapted_real_world,medium,explicit_constraints,False,,pending
DR014,deep_research,dataset_resource_discovery,遥感灾害识别数据集的约束式发现与谱系核验,livedrbench,existing_benchmark_derived,medium,goal_tradeoff,True,3,pending
DR015,deep_research,dataset_resource_discovery,电池材料发现数据集与测量条件对齐,livedrbench,existing_benchmark_derived,high,knowledge_and_audience,False,,pending
DR016,deep_research,dataset_resource_discovery,多语种 AI 监管语料的版本化构建,plhkw_authored,newly_authored,high,history_grounded_latent_preference,False,,pending
DR017,deep_research,prior_art,隐私保护个性化检索的先前技术检索,real_workflow_adaptation,adapted_real_world,high,interactive_information_acquisition,False,,pending
DR018,deep_research,prior_art,电子表格公式修复智能体的先前技术与差异化定位,real_workflow_adaptation,adapted_real_world,medium,explicit_constraints,False,,pending
DR019,deep_research,conflicting_evidence,护肤产品证据冲突与适配,pdr_bench,existing_benchmark_derived,medium,goal_tradeoff,False,,pending
DR020,deep_research,conflicting_evidence,亲子沟通干预的证据与情境冲突,pdr_bench,existing_benchmark_derived,high,knowledge_and_audience,True,4,pending
DR021,deep_research,temporal_update,柏林商务旅行的动态更新规划,pdr_bench,existing_benchmark_derived,medium,history_grounded_latent_preference,False,,pending
DR022,deep_research,temporal_update,AI 监管更新后的产品决策重算,plhkw_authored,newly_authored,high,interactive_information_acquisition,True,5,pending
DR023,deep_research,entity_exhaustive,量子网络研究团队与成果的可核验全景,deepresearch_bench,existing_benchmark_derived,medium,explicit_constraints,False,,pending
DR024,deep_research,entity_exhaustive,水务技术产业化案例的全球枚举与可比性审计,plhkw_authored,newly_authored,medium,goal_tradeoff,False,,pending
SW001,software_engineering,feature_implementation,为 Web 服务加入可配置缓存层,swe_bench_verified,existing_benchmark_derived,medium,knowledge_and_audience,True,6,pending
SW002,software_engineering,feature_implementation,为科学数组库增加流式导出,swe_bench_verified,existing_benchmark_derived,medium,history_grounded_latent_preference,False,,pending
SW003,software_engineering,feature_implementation,为模型评估 API 增加可插拔指标,swe_bench_verified,existing_benchmark_derived,medium,interactive_information_acquisition,False,,pending
SW004,software_engineering,feature_implementation,为轻量 API 框架增加审计日志,swe_bench_verified,existing_benchmark_derived,high,explicit_constraints,False,,pending
SW005,software_engineering,feature_implementation,为插件系统加入可替换的语义搜索后端,real_workflow_adaptation,adapted_real_world,medium,goal_tradeoff,False,,pending
SW006,software_engineering,debugging_remediation,修复时区序列化回归,swe_bench_verified,existing_benchmark_derived,medium,knowledge_and_audience,False,,pending
SW007,software_engineering,debugging_remediation,诊断符号化简的内存爆炸,swe_bench_verified,existing_benchmark_derived,medium,history_grounded_latent_preference,True,7,pending
SW008,software_engineering,debugging_remediation,修复日期坐标绘图回归,swe_bench_verified,existing_benchmark_derived,low,interactive_information_acquisition,False,,pending
SW009,software_engineering,debugging_remediation,修复网络重试导致的分布式测试不稳定,swe_bench_verified,existing_benchmark_derived,medium,explicit_constraints,False,,pending
SW010,software_engineering,refactor_optimization,重构大数组管线以降低峰值内存,swe_bench_verified,existing_benchmark_derived,medium,goal_tradeoff,False,,pending
SW011,software_engineering,refactor_optimization,重构文档构建缓存与依赖跟踪,swe_bench_verified,existing_benchmark_derived,low,knowledge_and_audience,False,,pending
SW012,software_engineering,refactor_optimization,迁移模型持久化 API 并控制弃用风险,real_workflow_adaptation,adapted_real_world,high,history_grounded_latent_preference,False,,pending
SW013,software_engineering,architecture_dependency,为知识产品选择向量检索架构,plhkw_authored,newly_authored,medium,interactive_information_acquisition,True,8,pending
SW014,software_engineering,architecture_dependency,为后台任务选择队列与一致性方案,plhkw_authored,newly_authored,high,explicit_constraints,False,,pending
SW015,software_engineering,architecture_dependency,为服务建立可用性优先的可观测性方案,plhkw_authored,newly_authored,high,goal_tradeoff,False,,pending
SW016,software_engineering,repo_investigation_modification,跨仓库安全配置审计与最小修复,real_workflow_adaptation,adapted_real_world,high,knowledge_and_audience,False,,pending
SW017,software_engineering,repo_investigation_modification,科学代码仓库的跨版本 API 迁移,scienceagentbench,adapted_real_world,high,history_grounded_latent_preference,False,,pending
SW018,software_engineering,repo_investigation_modification,在资源约束下复现论文算法并形成可维护代码,paperbench,existing_benchmark_derived,high,interactive_information_acquisition,False,,pending
